Number of days: 1289
March 17 2018: -5.27%,
March 18 2018: 4.68%,
March 19 2018: 5.02%,
March 20 2018: 3.66%,
March 21 2018: -0.28%,
March 22 2018: -1.82%,
March 23 2018: 2.04%,
March 24 2018: -3.95%,
March 25 2018: -0.72%,
March 26 2018: -3.97%,
March 27 2018: -4.16%,
March 28 2018: 1.97%,
March 29 2018: -10.81%,
March 30 2018: -3.53%,
March 31 2018: 1.22%,
April 1 2018: -1.57%,
April 2 2018: 3.57%,
April 3 2018: 4.83%,
April 4 2018: -8.23%,
April 5 2018: -0.37%,
April 6 2018: -2.49%,
April 7 2018: 4.46%,
April 8 2018: 1.77%,
April 9 2018: -3.26%,
April 10 2018: 0.92%,
April 11 2018: 1.67%,
April 12 2018: 13.94%,
April 13 2018: -0.58%,
April 14 2018: 1.54%,
April 15 2018: 4.39%,
April 16 2018: -3.47%,
April 17 2018: -2.23%,
April 18 2018: 3.57%,
April 19 2018: 1.27%,
April 20 2018: 7.05%,
April 21 2018: 0.71%,
April 22 2018: -1.44%,
April 23 2018: 1.69%,
April 24 2018: 7.68%,
April 25 2018: -7.79%,
April 26 2018: 4.46%,
April 27 2018: -3.79%,
April 28 2018: 4.85%,
April 29 2018: 0.76%,
April 30 2018: -1.82%,
May 1 2018: -1.89%,
May 2 2018: 1.94%,
May 3 2018: 5.43%,
May 4 2018: -0.37%,
May 5 2018: 1.54%,
May 6 2018: -2.08%,
May 7 2018: -3.06%,
May 8 2018: -1.89%,
May 9 2018: 1.44%,
May 10 2018: -3.31%,
May 11 2018: -6.69%,
May 12 2018: 0.71%,
May 13 2018: 2.41%,
May 14 2018: -0.19%,
May 15 2018: -2.32%,
May 16 2018: -1.56%,
May 17 2018: -3.46%,
May 18 2018: 2.50%,
May 19 2018: -0.05%,
May 20 2018: 3.56%,
May 21 2018: -1.71%,
May 22 2018: -4.89%,
May 23 2018: -5.96%,
May 24 2018: 0.97%,
May 25 2018: -1.61%,
May 26 2018: -1.65%,
May 27 2018: 0.07%,
May 28 2018: -3.27%,
May 29 2018: 5.10%,
May 30 2018: -1.23%,
May 31 2018: 1.39%,
June 1 2018: 0.48%,
June 2 2018: 1.58%,
June 3 2018: 1.01%,
June 4 2018: -2.95%,
June 5 2018: 1.84%,
June 6 2018: 0.42%,
June 7 2018: 0.42%,
June 8 2018: -1.14%,
June 9 2018: -1.47%,
June 10 2018: -9.70%,
June 11 2018: 1.58%,
June 12 2018: -4.98%,
June 13 2018: -3.63%,
June 14 2018: 5.45%,
June 15 2018: -3.76%,
June 16 2018: 1.63%,
June 17 2018: -0.51%,
June 18 2018: 4.17%,
June 19 2018: 0.44%,
June 20 2018: 0.32%,
June 21 2018: -0.66%,
June 22 2018: -10.01%,
June 23 2018: 1.72%,
June 24 2018: -0.21%,
June 25 2018: 1.86%,
June 26 2018: -2.90%,
June 27 2018: 1.12%,
June 28 2018: -4.58%,
June 29 2018: 5.93%,
June 30 2018: 3.10%,
July 1 2018: -0.54%,
July 2 2018: 4.00%,
July 3 2018: -1.53%,
July 4 2018: 1.17%,
July 5 2018: -0.86%,
July 6 2018: 1.23%,
July 7 2018: 2.23%,
July 8 2018: -0.61%,
July 9 2018: -0.74%,
July 10 2018: -5.49%,
July 11 2018: 1.29%,
July 12 2018: -2.00%,
July 13 2018: -0.59%,
July 14 2018: 0.60%,
July 15 2018: 1.63%,
July 16 2018: 5.81%,
July 17 2018: 8.84%,
July 18 2018: 0.88%,
July 19 2018: 1.14%,
July 20 2018: -1.76%,
July 21 2018: 0.84%,
July 22 2018: -0.06%,
July 23 2018: 4.41%,
July 24 2018: 8.75%,
July 25 2018: -2.64%,
July 26 2018: -3.13%,
July 27 2018: 3.39%,
July 28 2018: 0.45%,
July 29 2018: -0.17%,
July 30 2018: -0.45%,
July 31 2018: -5.39%,
August 1 2018: -1.69%,
August 2 2018: -0.98%,
August 3 2018: -1.42%,
August 4 2018: -5.43%,
August 5 2018: 0.20%,
August 6 2018: -1.27%,
August 7 2018: -3.10%,
August 8 2018: -6.48%,
August 9 2018: 3.92%,
August 10 2018: -5.91%,
August 11 2018: 1.37%,
August 12 2018: 1.38%,
August 13 2018: -0.99%,
August 14 2018: -0.96%,
August 15 2018: 1.28%,
August 16 2018: 0.74%,
August 17 2018: 4.25%,
August 18 2018: -2.90%,
August 19 2018: 1.40%,
August 20 2018: -3.44%,
August 21 2018: 3.66%,
August 22 2018: -1.84%,
August 23 2018: 2.55%,
August 24 2018: 2.40%,
August 25 2018: 0.70%,
August 26 2018: -0.50%,
August 27 2018: 3.11%,
August 28 2018: 2.44%,
August 29 2018: -0.65%,
August 30 2018: -0.69%,
August 31 2018: 0.38%,
September 1 2018: 2.69%,
September 2 2018: 1.39%,
September 3 2018: -0.53%,
September 4 2018: 1.32%,
September 5 2018: -8.96%,
September 6 2018: -2.71%,
September 7 2018: -1.86%,
September 8 2018: -3.29%,
September 9 2018: 1.06%,
September 10 2018: 0.96%,
September 11 2018: -0.27%,
September 12 2018: 0.72%,
September 13 2018: 2.35%,
September 14 2018: -0.17%,
September 15 2018: 0.59%,
September 16 2018: -0.15%,
September 17 2018: -3.87%,
September 18 2018: 1.40%,
September 19 2018: 0.88%,
September 20 2018: 1.56%,
September 21 2018: 4.11%,
September 22 2018: -0.53%,
September 23 2018: -0.22%,
September 24 2018: -1.87%,
September 25 2018: -2.03%,
September 26 2018: 0.31%,
September 27 2018: 3.42%,
September 28 2018: -0.82%,
September 29 2018: -0.58%,
September 30 2018: 0.44%,
October 1 2018: -0.23%,
October 2 2018: -1.27%,
October 3 2018: -0.24%,
October 4 2018: 1.29%,
October 5 2018: 0.67%,
October 6 2018: -0.62%,
October 7 2018: 0.29%,
October 8 2018: 0.87%,
October 9 2018: -0.25%,
October 10 2018: -0.39%,
October 11 2018: -5.69%,
October 12 2018: 0.72%,
October 13 2018: 0.55%,
October 14 2018: 0.10%,
October 15 2018: 6.52%,
October 16 2018: 0.10%,
October 17 2018: -0.32%,
October 18 2018: -1.78%,
October 19 2018: -1.36%,
October 20 2018: 0.91%,
October 21 2018: 0.07%,
October 22 2018: -0.14%,
October 23 2018: -0.42%,
October 24 2018: 0.18%,
October 25 2018: -0.59%,
October 26 2018: 0.16%,
October 27 2018: -0.51%,
October 28 2018: -0.24%,
October 29 2018: -2.24%,
October 30 2018: -0.21%,
October 31 2018: 0.66%,
November 1 2018: 0.64%,
November 2 2018: 0.37%,
November 3 2018: -0.71%,
November 4 2018: 1.53%,
November 5 2018: -0.26%,
November 6 2018: 0.77%,
November 7 2018: 0.85%,
November 8 2018: -1.50%,
November 9 2018: -0.92%,
November 10 2018: 0.20%,
November 11 2018: 0.23%,
November 12 2018: 0.04%,
November 13 2018: 0.09%,
November 14 2018: -8.31%,
November 15 2018: -2.77%,
November 16 2018: -1.76%,
November 17 2018: -0.39%,
November 18 2018: 0.56%,
November 19 2018: -13.28%,
November 20 2018: -7.22%,
November 21 2018: 2.22%,
November 22 2018: -6.24%,
November 23 2018: 1.14%,
November 24 2018: -10.94%,
November 25 2018: 3.87%,
November 26 2018: -5.54%,
November 27 2018: 0.28%,
November 28 2018: 10.04%,
November 29 2018: 0.79%,
November 30 2018: -5.92%,
December 1 2018: 3.68%,
December 2 2018: -0.72%,
December 3 2018: -6.65%,
December 4 2018: 1.72%,
December 5 2018: -4.58%,
December 6 2018: -6.89%,
December 7 2018: -3.00%,
December 8 2018: 0.22%,
December 9 2018: 3.93%,
December 10 2018: -3.26%,
December 11 2018: -1.56%,
December 12 2018: 1.95%,
December 13 2018: -4.19%,
December 14 2018: -2.36%,
December 15 2018: -0.42%,
December 16 2018: 0.53%,
December 17 2018: 8.67%,
December 18 2018: 4.10%,
December 19 2018: 0.25%,
December 20 2018: 10.65%,
December 21 2018: -5.26%,
December 22 2018: 2.83%,
December 23 2018: -0.49%,
December 24 2018: 1.99%,
December 25 2018: -6.59%,
December 26 2018: 0.86%,
December 27 2018: -5.55%,
December 28 2018: 7.61%,
December 29 2018: -3.74%,
December 30 2018: 2.85%,
December 31 2018: -2.64%,
